;Pays;Nombre de personnes inscrites au Registre des Français établis hors de France, au 31 décembre 2011;
;AFGHANISTAN;334;
;AFRIQUE DU SUD;7 108;
;ALBANIE;172;
;ALGERIE;28 830;
;ALLEMAGNE;114 372;
;ANDORRE;3 288;
;ANGOLA;2 070;
;ARABIE SAOUDITE;5 306;
;ARGENTINE;14 390;
;ARMENIE;591;
;AUSTRALIE;18 323;
;AUTRICHE;8 024;
;AZERBAIDJAN;164;
;BAHREIN;991;
;BANGLADESH;235;
;BELGIQUE;109 426;
;BENIN;3 694;
;BIELORUSSIE;139;
;BIRMANIE;270;
;BOLIVIE;1 204;
;BOSNIE-HERZEGOVINE;318;
;BOTSWANA;122;
;BRESIL;19 858;
;BRUNEI;186;
;BULGARIE;1 004;
;BURKINA;3 387;
;BURUNDI;444;
;CAMBODGE;3 897;
;CAMEROUN;6 183;
;CANADA;79 328;
;CAP-VERT;389;
;CENTRAFRICAINE (REP.);1 296;
;CHILI;11 046;
;CHINE;30 305;
;CHYPRE;1 339;
;COLOMBIE;4 545;
;COMORES;1 971;
;CONGO;5 083;
;CONGO (REP. DEMOCRAT.);2 448;
;COREE;1 993;
;COSTA RICA;2 093;
;COTE D'IVOIRE;13 221;
;CROATIE;925;
;CUBA;510;
;DANEMARK;5 214;
;DJIBOUTI;5 142;dont 15 en Erythrée
;DOMINICAINE (REP.);3 818;
;EGYPTE;6 483;
;EMIRATS ARABES UNIS;14 352;
;EQUATEUR;2 182;
;ESPAGNE;94 056;
;ESTONIE;182;
;ETATS-UNIS;122 686;
;ETHIOPIE;895;
;FIDJI;200;
;FINLANDE;2 569;
;GABON;11 217;
;GEORGIE;264;
;GHANA;959;
;GRECE;11 226;
;GUATEMALA;788;
;GUINEE;2 379;
;GUINEE EQUATORIALE;684;
;GUINEE-BISSAO;109;
;HAITI;1 551;
;HONDURAS;387;
;HONGRIE;2 413;
;INDE;9 595;
;INDONESIE;3 564;
;IRAK;173;
;IRAN;903;
;IRLANDE;8 881;
;ISLANDE;341;
;ISRAEL;58 840;
;ITALIE;48 352;
;JAMAIQUE;203;
;JAPON;7 480;
;JERUSALEM - TER. PALESTINIENS;19 708;
;JORDANIE;1 407;
;KAZAKHSTAN;417;dont 63 au Kirghizstan
;KENYA;1 366;
;KOSOVO;108;
;KOWEIT;1 014;
;LAOS;1 884;
;LETTONIE;193;
;LIBAN;21 428;
;LIBYE;407;
;LITUANIE;379;
;LUXEMBOURG;28 720;
;MACEDOINE;201;
;MADAGASCAR;19 864;
;MALAISIE;2 592;
;MALI;4 815;
;MALTE;497;
;MAROC;44 000;
;MAURICE;9 780;
;MAURITANIE;2 127;
;MEXIQUE;17 315;
;MOLDAVIE;102;
;MONACO;7 792;
;MONGOLIE;118;
;MONTENEGRO;111;
;MOZAMBIQUE;468;
;NAMIBIE;293;
;NEPAL;218;
;NICARAGUA;660;
;NIGER;1 558;
;NIGERIA;1 826;
;NORVEGE;5 034;
;NOUVELLE-ZELANDE;3 512;
;OMAN;702;
;OUGANDA;387;
;OUZBEKISTAN;111;
;PAKISTAN;578;
;PANAMA;1 270;
;PAPOUASIE-NOUVELLE-GUINEE;120;
;PARAGUAY;1 395;
;PAYS-BAS;23 934;
;PEROU;3 713;
;PHILIPPINES;2 272;
;POLOGNE;5 757;
;PORTUGAL;15 572;
;QATAR;3 202;
;ROUMANIE;2 979;
;ROYAUME-UNI;123 306;
;RUSSIE;5 752;
;RWANDA;258;
;SAINTE-LUCIE;805;
;SALVADOR;690;
;SENEGAL;17 729;
;SERBIE;1 483;
;SEYCHELLES;552;
;SINGAPOUR;9 197;
;SLOVAQUIE;895;
;SLOVENIE;682;
;SOUDAN;225;
;SOUDAN DU SUD;54;
;SRI LANKA;425;
;SUEDE;6 329;
;SUISSE;155 743;
;SURINAME;251;dont 29 au Guyana
;SYRIE;2 660;
;TADJIKISTAN;33;
;TAIWAN;1 517;
;TANZANIE;630;
;TCHAD;1 259;
;TCHEQUE (REPUBLIQUE);2 983;
;THAILANDE;9 788;
;TOGO;3 007;
;TRINITE-ET-TOBAGO;649;
;TUNISIE;21 552;
;TURKMENISTAN;473;
;TURQUIE;6 630;
;UKRAINE;1 016;
;URUGUAY;2 824;
;VANUATU;1 962;
;VENEZUELA;4 970;
;VIET NAM;6 164;
;YEMEN;510;
;ZAMBIE;243;
;ZIMBABWE;241;
;TOTAL;1 594 303;

;;;
;Source : ;Ministère des Affaires étrangères et européennes;
;;Direction des Français de l'Etranger.;
