Départ;Arrivée;Nombre de circulations assurées;Nombre de trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;319;28
ANGOULEME;PARIS MONTPARNASSE;343;40
PARIS MONTPARNASSE;BORDEAUX ST JEAN;648;41
BORDEAUX ST JEAN;PARIS MONTPARNASSE;636;48
PARIS MONTPARNASSE;BREST;206;11
BREST;PARIS MONTPARNASSE;176;8
PARIS MONTPARNASSE;LA ROCHELLE VILLE;226;34
LA ROCHELLE VILLE;PARIS MONTPARNASSE;229;22
PARIS MONTPARNASSE;LE MANS;436;44
LE MANS;PARIS MONTPARNASSE;481;36
PARIS MONTPARNASSE;NANTES;515;21
NANTES;PARIS MONTPARNASSE;560;18
PARIS MONTPARNASSE;POITIERS;402;18
POITIERS;PARIS MONTPARNASSE;487;48
PARIS MONTPARNASSE;QUIMPER;192;19
QUIMPER;PARIS MONTPARNASSE;145;4
PARIS MONTPARNASSE;RENNES;553;42
RENNES;PARIS MONTPARNASSE;570;27
PARIS MONTPARNASSE;TOULOUSE MATABIAU;150;16
TOULOUSE MATABIAU;PARIS MONTPARNASSE;110;8
PARIS MONTPARNASSE;TOURS;187;21
TOURS;PARIS MONTPARNASSE;183;11
PARIS MONTPARNASSE;ST PIERRE DES CORPS;455;32
ST PIERRE DES CORPS;PARIS MONTPARNASSE;445;49
PARIS MONTPARNASSE;ANGERS SAINT LAUD;394;22
ANGERS SAINT LAUD;PARIS MONTPARNASSE;450;17
PARIS MONTPARNASSE;VANNES;216;19
VANNES;PARIS MONTPARNASSE;169;4
PARIS MONTPARNASSE;LAVAL;235;13
LAVAL;PARIS MONTPARNASSE;227;9
PARIS MONTPARNASSE;ST MALO;60;6
ST MALO;PARIS MONTPARNASSE;96;4
LYON PART DIEU;RENNES;31;1
RENNES;LYON PART DIEU;84;5
METZ;PARIS EST;302;26
PARIS EST;METZ;311;13
PARIS EST;NANCY;296;16
NANCY;PARIS EST;292;12
PARIS EST;REIMS;225;6
REIMS;PARIS EST;218;12
PARIS EST;STRASBOURG;483;31
STRASBOURG;PARIS EST;476;45
NANTES;STRASBOURG;52;6
STRASBOURG;NANTES;51;3
PARIS NORD;ARRAS;352;12
ARRAS;PARIS NORD;329;21
PARIS NORD;DUNKERQUE;164;6
DUNKERQUE;PARIS NORD;118;3
PARIS NORD;LILLE;564;47
LILLE;PARIS NORD;585;44
LILLE;LYON PART DIEU;310;34
LYON PART DIEU;LILLE;281;55
LILLE;MARSEILLE ST CHARLES;159;32
MARSEILLE ST CHARLES;LILLE;130;34
PARIS NORD;DOUAI;183;7
DOUAI;PARIS NORD;189;13
PARIS-LYON;AVIGNON TGV;419;42
AVIGNON TGV;PARIS-LYON;418;65
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;249;25
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;186;12
PARIS-LYON;CHAMBERY CHALLES LES EAUX;219;23
CHAMBERY CHALLES LES EAUX;PARIS-LYON;215;19
PARIS-LYON;DIJON VILLE;453;26
DIJON VILLE;PARIS-LYON;431;32
PARIS-LYON;GRENOBLE;215;15
GRENOBLE;PARIS-LYON;212;6
PARIS-LYON;LYON PART DIEU;536;24
LYON PART DIEU;PARIS-LYON;544;27
PARIS-LYON;MARSEILLE ST CHARLES;522;46
MARSEILLE ST CHARLES;PARIS-LYON;503;27
PARIS-LYON;MONTPELLIER;395;51
MONTPELLIER;PARIS-LYON;405;34
PARIS-LYON;NICE VILLE;226;54
NICE VILLE;PARIS-LYON;241;57
PARIS-LYON;NIMES;397;65
NIMES;PARIS-LYON;405;43
PARIS-LYON;PERPIGNAN;162;23
PERPIGNAN;PARIS-LYON;165;20
PARIS-LYON;TOULON;266;33
TOULON;PARIS-LYON;298;58
PARIS-LYON;VALENCE-ALIXAN TGV;274;30
VALENCE-ALIXAN TGV;PARIS-LYON;245;33
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;117;8
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;119;15
PARIS-LYON;BELLEGARDE (AIN );263;21
BELLEGARDE (AIN );PARIS-LYON;263;22
PARIS-LYON;AIX EN PROVENCE TGV;437;58
AIX EN PROVENCE TGV;PARIS-LYON;438;67
PARIS-LYON;ANNECY;208;17
ANNECY;PARIS-LYON;204;8
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;207;26
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;215;38
PARIS-LYON;MACON LOCHE;183;15
MACON LOCHE;PARIS-LYON;177;19
LYON PART DIEU;MARSEILLE ST CHARLES;619;144
MARSEILLE ST CHARLES;LYON PART DIEU;596;109
LYON PART DIEU;MONTPELLIER;377;76
MONTPELLIER;LYON PART DIEU;368;68
PARIS-LYON;MULHOUSE VILLE;298;27
MULHOUSE VILLE;PARIS-LYON;280;18
PARIS-LYON;GENEVE;248;
GENEVE;PARIS-LYON;246;13
PARIS-LYON;ZURICH;181;
ZURICH;PARIS-LYON;181;9
PARIS-LYON;LAUSANNE;129;
LAUSANNE;PARIS-LYON;131;9
PARIS NORD;BELGIQUE-PAYS-BAS;711;
BELGIQUE-PAYS-BAS;PARIS NORD;620;95
PARIS EST;FRANCFORT;142;
FRANCFORT;PARIS EST;143;51
PARIS EST;STUTTGART;120;
STUTTGART;PARIS EST;113;17
PARIS-LYON;ITALIE;92;
ITALIE;PARIS-LYON;93;10
