Départ;Arrivée;Nb de circulations;Nb trains en retard à l'arrivée
PARIS MONTPARNASSE;ANGOULEME;333;21
ANGOULEME;PARIS MONTPARNASSE;358;57
PARIS MONTPARNASSE;BORDEAUX ST JEAN;636;47
BORDEAUX ST JEAN;PARIS MONTPARNASSE;649;77
PARIS MONTPARNASSE;BREST;183;4
BREST;PARIS MONTPARNASSE;173;3
PARIS MONTPARNASSE;LA ROCHELLE VILLE;218;15
LA ROCHELLE VILLE;PARIS MONTPARNASSE;202;20
PARIS MONTPARNASSE;LE MANS;457;39
LE MANS;PARIS MONTPARNASSE;473;70
PARIS MONTPARNASSE;NANTES;592;35
NANTES;PARIS MONTPARNASSE;590;34
PARIS MONTPARNASSE;POITIERS;466;21
POITIERS;PARIS MONTPARNASSE;511;72
PARIS MONTPARNASSE;QUIMPER;147;7
QUIMPER;PARIS MONTPARNASSE;149;3
PARIS MONTPARNASSE;RENNES;571;31
RENNES;PARIS MONTPARNASSE;582;29
PARIS MONTPARNASSE;TOULOUSE MATABIAU;135;25
TOULOUSE MATABIAU;PARIS MONTPARNASSE;105;16
PARIS MONTPARNASSE;TOURS;221;25
TOURS;PARIS MONTPARNASSE;227;32
PARIS MONTPARNASSE;ST PIERRE DES CORPS;474;36
ST PIERRE DES CORPS;PARIS MONTPARNASSE;472;90
PARIS MONTPARNASSE;ANGERS SAINT LAUD;446;20
ANGERS SAINT LAUD;PARIS MONTPARNASSE;488;48
PARIS MONTPARNASSE;VANNES;170;9
VANNES;PARIS MONTPARNASSE;176;4
PARIS MONTPARNASSE;LAVAL;250;13
LAVAL;PARIS MONTPARNASSE;246;17
PARIS MONTPARNASSE;ST MALO;58;1
ST MALO;PARIS MONTPARNASSE;102;2
LYON PART DIEU;RENNES;31;3
RENNES;LYON PART DIEU;83;2
METZ;PARIS EST;297;14
PARIS EST;METZ;310;16
PARIS EST;NANCY;294;15
NANCY;PARIS EST;297;13
PARIS EST;REIMS;250;21
REIMS;PARIS EST;238;16
PARIS EST;STRASBOURG;479;32
STRASBOURG;PARIS EST;478;37
NANTES;STRASBOURG;62;7
STRASBOURG;NANTES;61;7
PARIS NORD;ARRAS;379;32
ARRAS;PARIS NORD;345;45
PARIS NORD;DUNKERQUE;163;7
DUNKERQUE;PARIS NORD;115;8
PARIS NORD;LILLE;635;49
LILLE;PARIS NORD;622;67
LILLE;LYON PART DIEU;305;27
LYON PART DIEU;LILLE;269;55
LILLE;MARSEILLE ST CHARLES;158;28
MARSEILLE ST CHARLES;LILLE;125;34
PARIS NORD;DOUAI;212;21
DOUAI;PARIS NORD;209;31
PARIS-LYON;AVIGNON TGV;391;15
AVIGNON TGV;PARIS-LYON;328;35
PARIS-LYON;BESANCON-FRANCHE-COMTE-TGV;241;21
BESANCON-FRANCHE-COMTE-TGV;PARIS-LYON;220;25
PARIS-LYON;CHAMBERY CHALLES LES EAUX;260;35
CHAMBERY CHALLES LES EAUX;PARIS-LYON;284;48
PARIS-LYON;DIJON VILLE;465;23
DIJON VILLE;PARIS-LYON;470;50
PARIS-LYON;GRENOBLE;260;19
GRENOBLE;PARIS-LYON;251;11
PARIS-LYON;LYON PART DIEU;638;19
LYON PART DIEU;PARIS-LYON;640;35
PARIS-LYON;MARSEILLE ST CHARLES;519;22
MARSEILLE ST CHARLES;PARIS-LYON;486;22
PARIS-LYON;MONTPELLIER;351;24
MONTPELLIER;PARIS-LYON;361;24
PARIS-LYON;NICE VILLE;160;23
NICE VILLE;PARIS-LYON;160;28
PARIS-LYON;NIMES;348;33
NIMES;PARIS-LYON;362;36
PARIS-LYON;PERPIGNAN;150;14
PERPIGNAN;PARIS-LYON;146;11
PARIS-LYON;TOULON;217;23
TOULON;PARIS-LYON;243;33
PARIS-LYON;VALENCE-ALIXAN TGV;267;24
VALENCE-ALIXAN TGV;PARIS-LYON;242;29
PARIS-LYON;SAINT ETIENNE CHATEAUCREUX;112;9
SAINT ETIENNE CHATEAUCREUX;PARIS-LYON;109;16
PARIS-LYON;BELLEGARDE (AIN );284;28
BELLEGARDE (AIN );PARIS-LYON;280;22
PARIS-LYON;AIX EN PROVENCE TGV;406;27
AIX EN PROVENCE TGV;PARIS-LYON;418;53
PARIS-LYON;ANNECY;208;9
ANNECY;PARIS-LYON;209;19
PARIS-LYON;LE CREUSOT-MONTCEAU-MONTCHANIN;207;34
LE CREUSOT-MONTCEAU-MONTCHANIN;PARIS-LYON;217;27
PARIS-LYON;MACON LOCHE;192;5
MACON LOCHE;PARIS-LYON;184;11
LYON PART DIEU;MARSEILLE ST CHARLES;619;128
MARSEILLE ST CHARLES;LYON PART DIEU;596;89
LYON PART DIEU;MONTPELLIER;359;57
MONTPELLIER;LYON PART DIEU;366;38
PARIS-LYON;MULHOUSE VILLE;309;23
MULHOUSE VILLE;PARIS-LYON;309;31
PARIS-LYON;GENEVE;261;
GENEVE;PARIS-LYON;257;11
PARIS-LYON;ZURICH;181;
ZURICH;PARIS-LYON;177;10
PARIS-LYON;LAUSANNE;127;
LAUSANNE;PARIS-LYON;131;9
PARIS NORD;BELGIQUE-PAYS-BAS;719;
BELGIQUE-PAYS-BAS;PARIS NORD;660;100
PARIS EST;FRANCFORT;145;
FRANCFORT;PARIS EST;145;8
PARIS EST;STUTTGART;119;
STUTTGART;PARIS EST;119;10
PARIS-LYON;ITALIE;81;
ITALIE;PARIS-LYON;88;13
